ID	DOCULECT	CONCEPT	FORM	TOKENS	COGID	SOURCE	NOTE
2213	OldChinese	Egg	k.rˤ.o.r.ʔ	k.rˤ o.r ʔ		Sagart2019	written and spoken but more literary than thur
2214	OldChinese	Egg	tʰ.u.r	tʰ u.r		Sagart2019	unwritten. Limited to Hakka, Cantonese and some unclassified dialects and patois of the Chinese SE.
173	Gyalsumdo	Eight	ke	k e		Dhakal2024	[x]
432	Jirel	Eight	ŋɡet̪	ⁿg/g e.t̪		Dhakal2024	[x]
689	Kagate	Eight	ke	k e		Dhakal2024	[x]
946	Lowa	Eight	ke	k e		Dhakal2024	[x]
1195	Nubri	Eight	ke	k e		Dhakal2024	[x]
1196	Nubri	Eight	kxe	!kx/k e		Dhakal2024	[x]
1446	Sherpa	Eight	ɡeʔ	g e.ʔ		Dhakal2024	[x]
1689	Tsum	Eight	keʔ	k e.ʔ		Dhakal2024	[x]
1951	Yolmo	Eight	ke	k e		Dhakal2024	[x]
2215	OldTibetan	Eight	b.r.gʲ.a.d	b.r.gʲ a.d		Sagart2019	
2216	Lhasa	Eight	c.ɛ.¹³²	c ɛ ¹³²		Sagart2019	
2217	Xiahe	Eight	dʑ.a.l	dʑ a.l		Sagart2019	
2218	Batang	Eight	dʑ.ɛ.ʔ.⁵³	dʑ ɛ.ʔ ⁵³		Sagart2019	
2219	Alike	Eight	w.dʑ.a.t	w.dʑ a.t		Sagart2019	!
2220	OldChinese	Eight	pˤ.r.e.t	pˤ.r e.t		Sagart2019	
5	Gyalsumdo	Eye	mi	m i		Dhakal2024	[x] ← Chinese /muk/
272	Jirel	Eye	mik	m i.k		Dhakal2024	[x] ← Chinese /muk/
531	Kagate	Eye	mi	m i		Dhakal2024	[x] ← Chinese /muk/
784	Lowa	Eye	mik	m i.k		Dhakal2024	[x] ← Chinese /muk/
1042	Nubri	Eye	mik	m i.k		Dhakal2024	[x] ← Chinese /muk/
1290	Sherpa	Eye	mik	m i.k		Dhakal2024	[x] ← Chinese /muk/
1535	Tsum	Eye	miʔ	m i.ʔ		Dhakal2024	[x] ← Chinese /muk/
1796	Yolmo	Eye	mi	m i		Dhakal2024	[x] ← Chinese /muk/
2221	OldTibetan	Eye	d.mʲ.i.g	d.mʲ i.g		Sagart2019	
2222	Lhasa	Eye	m.i.⁵²	m i ⁵²		Sagart2019	
2223	Batang	Eye	m.i.ʔ.⁵³	m i.ʔ ⁵³		Sagart2019	
2224	Xiahe	Eye	h.ȵ.ɔ.χ	h.ȵ ɔ.χ		Sagart2019	
2225	Alike	Eye	ɣ.ȵ.ə.k	ɣ.ȵ ə.k		Sagart2019	
2226	OldChinese	Eye	C/.+.m.u.k	ç/k + m u.k		Sagart2019	
155	Gyalsumdo	Far	t̪ʰaɹiŋbu	t̪ʰ a + ɹ i.ŋ + b u		Dhakal2024	[x]
413	Jirel	Far	t̪ʰaɹid̪u	t̪ʰ a + ɹ i.!Ø/n + d̪ u		Dhakal2024	[x]
414	Jirel	Far	t̪ʰaɹipa	t̪ʰ a + ɹ i.!Ø/n + p a		Dhakal2024	[x]
672	Kagate	Far	t̪ʰariŋbu	t̪ʰ a + r i.ŋ + b u		Dhakal2024	[x]
928	Lowa	Far	t̪ʰaɡɾiŋa	t̪ʰ a.g/k + ɾ i.!Ø/ŋ + ŋ a		Dhakal2024	[x]
1178	Nubri	Far	t̪ʰaɹiŋpo	t̪ʰ a + ɹ i.ŋ + p o		Dhakal2024	[x]
1429	Sherpa	Far	t̪ʰakriŋbu	t̪ʰ a.k + r i.ŋ + b u		Dhakal2024	[x]
1672	Tsum	Far	t̪ʰaɹiŋmu	t̪ʰ a + ɹ i.ŋ + m u		Dhakal2024	[x]
1934	Yolmo	Far	t̪ʰaɹiŋbu	t̪ʰ a + ɹ i.ŋ + b u		Dhakal2024	[x]
2227	OldTibetan	Far	tʰ.a.g.+.r.i.ŋ.+.p.o	tʰ a.g + r i.ŋ + p o		Sagart2019	
2228	Lhasa	Far	th.a.⁵²._.r.i.ŋ.¹³.◦.k.u.⁵⁵	tʰ a ⁵² + r i.ŋ ¹³ + k u ⁵⁵		Sagart2019	
2229	Xiahe	Far	th.a.χ._.r.a.ŋ	tʰ a.χ + r a ŋ		Sagart2019	
2230	Batang	Far	th.a.ʔ.⁵³.◦.r.ĩ.∼.¹³.◦.p.ᴜ.⁵³	tʰ a.ʔ ⁵³ + r ĩ ¹³ + p u ⁵³		Sagart2019	
2231	Alike	Far	th.a.k._.r.a.ŋ	tʰ a.k + r a.ŋ		Sagart2019	
2232	OldChinese	Far	C/.+.ɢʷ.a.n.ʔ	ç/k + ɢʷ a.n ʔ		Sagart2019	
116	Gyalsumdo	Father	apa	a + p a		Dhakal2024	[x]
377	Jirel	Father	aba	a + b a		Dhakal2024	[x]
633	Kagate	Father	aba	a + b a		Dhakal2024	[x]
890	Lowa	Father	ake	a + k e		Dhakal2024	[x]
1142	Nubri	Father	jɛ	j ɛ		Dhakal2024	[borrowed from Chinese]
1393	Sherpa	Father	apa	a + p a		Dhakal2024	[x]
1636	Tsum	Father	awa	a + w a		Dhakal2024	[x]
1898	Yolmo	Father	aba	a + b a		Dhakal2024	[x]
2233	OldTibetan	Father	a.pʰ.a	a + pʰ a		Sagart2019	
2234	Lhasa	Father	a.⁵⁵.◦.p.a.⁵⁵	a ⁵⁵ + p a ⁵⁵		Sagart2019	
2235	Lhasa	Father	p.a.⁵⁵.◦.p.a.⁵⁵	p a ⁵⁵ + p a ⁵⁵		Sagart2019	
2236	Batang	Father	ʔ.a.⁵⁵.◦.ph.a.⁵³	ʔ a ⁵⁵ + pʰ a ⁵³		Sagart2019	
2237	Batang	Father	ph.a.⁵⁵.◦.g.ẽ.∼.⁵⁵	pʰ a ⁵⁵ + g ẽ ⁵⁵		Sagart2019	
2238	Xiahe	Father	ʔ.a._.dʑ.a	ʔ a + dʑ a		Sagart2019	
2239	Alike	Father	a._.r.dʑ.æ	a + r.dʑ æ		Sagart2019	!
2240	OldChinese	Father	ɴ.+.p.a.ʔ	ɴ + p a ʔ		Sagart2019	
62	Gyalsumdo	Fire	me	m e		Dhakal2024	[x]
324	Jirel	Fire	me	m e		Dhakal2024	[x]
582	Kagate	Fire	me	m e		Dhakal2024	[x]
837	Lowa	Fire	me	m e		Dhakal2024	[x]
1092	Nubri	Fire	mẽ	m !ẽ/e		Dhakal2024	[x]
1342	Sherpa	Fire	me	m e		Dhakal2024	[x]
1586	Tsum	Fire	me	m e		Dhakal2024	[x]
1848	Yolmo	Fire	me	m e		Dhakal2024	[x]
2241	OldTibetan	Fire	m.e	m e		Sagart2019	
2242	Lhasa	Fire	m.e.¹³	m e ¹³		Sagart2019	
2243	Batang	Fire	ȵ.e.⁵³	ȵ e ⁵³		Sagart2019	
2244	Alike	Fire	m.ȵ.e	m.ȵ e		Sagart2019	!
2245	Xiahe	Fire	ȵ.e	ȵ e		Sagart2019	
2246	OldChinese	Fire	qʷʰˤ.ə.j.ʔ	qʷʰˤ ə.j ʔ		Sagart2019	
34	Gyalsumdo	Firewood	ɕiŋ	ɕ i.ŋ		Dhakal2024	[x]
296	Jirel	Firewood	ɕiŋ	ɕ i.ŋ		Dhakal2024	[x]
556	Kagate	Firewood	siŋ	s i.ŋ		Dhakal2024	[x]
810	Lowa	Firewood	ɕiŋ	ɕ i.ŋ		Dhakal2024	[x]
1066	Nubri	Firewood	ɕiŋ	ɕ i.ŋ		Dhakal2024	[x]
1315	Sherpa	Firewood	ɕiŋ	ɕ i.ŋ		Dhakal2024	[x]
1560	Tsum	Firewood	ɕiŋ	ɕ i.ŋ		Dhakal2024	[x]
1820	Yolmo	Firewood	ɕiŋ	ɕ i.ŋ		Dhakal2024	[x]
2247	Alike	Firewood	tɕh.æ._.m.æ	tɕʰ æ + m æ		Sagart2019	
2248	Lhasa	Firewood	m.i.¹³.◦.ɕ.i.ŋ.⁵⁵	m i ¹³ + ɕ i.ŋ ⁵⁵		Sagart2019	
2249	Batang	Firewood	xh.ĩ.∼.⁵⁵	xʰ ĩ ⁵⁵		Sagart2019	?
2250	Xiahe	Firewood	tɕh.a._.m.a	tɕʰ a + m a		Sagart2019	
2251	OldChinese	Firewood	s.i.n	s i.n		Sagart2019	
95	Gyalsumdo	Fish	ɲa	ɲ a		Dhakal2024	[x]
355	Jirel	Fish	ɲa	ɲ a		Dhakal2024	[x]
613	Kagate	Fish	ɲa	ɲ a		Dhakal2024	[x]
870	Lowa	Fish	ɲa	ɲ a		Dhakal2024	[x]
1123	Nubri	Fish	ɲa	ɲ a		Dhakal2024	[x]
1373	Sherpa	Fish	ɲa	ɲ a		Dhakal2024	[x]
1617	Tsum	Fish	ɲa	ɲ a		Dhakal2024	[x]
1879	Yolmo	Fish	ɲa	ɲ a		Dhakal2024	[x]
2252	OldTibetan	Fish	ɲ.a	ɲ a		Sagart2019	
2253	Alike	Fish	ȵ.æ	ȵ æ		Sagart2019	
2254	Lhasa	Fish	ȵ.a.¹³	ȵ a ¹³		Sagart2019	
2255	Batang	Fish	ȵ.a.²³¹	ȵ a ²³¹		Sagart2019	
2256	Xiahe	Fish	ȵ.a	ȵ a		Sagart2019	
2257	OldChinese	Fish	r.+.ŋ.a	r + ŋ a		Sagart2019	
169	Gyalsumdo	Five	ŋa	ŋ a		Dhakal2024	[x]
429	Jirel	Five	ŋa	ŋ a		Dhakal2024	[x]
686	Kagate	Five	ŋa	ŋ a		Dhakal2024	[x]
942	Lowa	Five	ŋa	ŋ a		Dhakal2024	[x]
1192	Nubri	Five	ŋa	ŋ a		Dhakal2024	[x]
1443	Sherpa	Five	ŋa	ŋ a		Dhakal2024	[x]
1686	Tsum	Five	ŋa	ŋ a		Dhakal2024	[x]
1948	Yolmo	Five	ŋa	ŋ a		Dhakal2024	[x]
2258	OldTibetan	Five	l.ŋ.a	l.ŋ a		Sagart2019	
2259	Lhasa	Five	ŋ.a.⁵⁵	ŋ a ⁵⁵		Sagart2019	
2260	Batang	Five	ŋ.a.⁵³	ŋ a ⁵³		Sagart2019	
2261	Xiahe	Five	h.ŋ.a	h.ŋ a		Sagart2019	
2262	Alike	Five	r.ŋ.æ	r.ŋ æ		Sagart2019	!
2263	OldChinese	Five	C/.+.ŋˤ.a.ʔ	ç/k + ŋˤ a ʔ		Sagart2019	
73	Gyalsumdo	Flower	mend̪o	m e + ⁿd̪/d̪ o		Dhakal2024	[x]
334	Jirel	Flower	mend̪ok	m e + ⁿd/d̪ o.k		Dhakal2024	[x]
592	Kagate	Flower	mend̪o	m e + ⁿd̪/d̪ o		Dhakal2024	[x]
848	Lowa	Flower	ment̪o	m e + ⁿt̪/t̪ o.!Ø/ʔ		Dhakal2024	[x]
1102	Nubri	Flower	met̪o	m e + t̪ o.!Ø/ʔ		Dhakal2024	[x]
1352	Sherpa	Flower	mend̪o	m e + ⁿd̪/d̪ o		Dhakal2024	[x]
1596	Tsum	Flower	mend̪oʔ	m e + ⁿd̪/d̪ o.ʔ		Dhakal2024	[x]
1858	Yolmo	Flower	mend̪o	m e + ⁿd̪/d̪ o		Dhakal2024	[x]
2264	OldTibetan	Flower	m.e.+.t.o.g	m e + t o.g		Sagart2019	
2265	Batang	Flower	m.e.¹³.◦.t.o.ʔ.⁵³	m e ¹³ + t o.ʔ ⁵³		Sagart2019	
2266	Lhasa	Flower	m.e.¹³.◦.t.o.⁵²	m e ¹³ + t o ⁵²		Sagart2019	
2267	Xiahe	Flower	m.e._.t.o.χ	m e + t o.χ		Sagart2019	
2268	Alike	Flower	m.e._.tʰ.o.k	m e + tʰ o.k		Sagart2019	
2269	OldChinese	Flower	ɴ.+.qʷʰˤ.r.a	ɴ + qʷʰˤ.r a		Sagart2019	
168	Gyalsumdo	Four	ɕi	ɕ i		Dhakal2024	[x]
428	Jirel	Four	ɕi	ɕ i		Dhakal2024	[x]
685	Kagate	Four	ɕi	ɕ i		Dhakal2024	[x]
941	Lowa	Four	ɕi	ɕ i		Dhakal2024	[x]
1191	Nubri	Four	ɕi	ɕ i		Dhakal2024	[x]
1442	Sherpa	Four	ɕi	ɕ i		Dhakal2024	[x]
1685	Tsum	Four	ʑi	ʑ i		Dhakal2024	[x]
1947	Yolmo	Four	ʑi	ʑ i		Dhakal2024	[x]
2276	OldTibetan	Four	b.ʑ.i	b.ʑ i		Sagart2019	
2277	Lhasa	Four	ɕ.i.¹³	ɕ i ¹³		Sagart2019	
2278	Alike	Four	w.ʑ.ə	w.ʑ ə		Sagart2019	!
2279	Batang	Four	ɣ.ɪ.⁵³	ɣ ɪ ⁵³		Sagart2019	
2280	Xiahe	Four	ʑ.ə	ʑ ə		Sagart2019	
2281	OldChinese	Four	s.l.i.j.+.s	s.l i.j + s		Sagart2019	
74	Gyalsumdo	Fruit	ɕiŋd̪o	ɕ i.ŋ + d̪ o		Dhakal2024	[x]
335	Jirel	Fruit	pʰəlpʰul	pʰ ə.l + pʰ u.l		Dhakal2024	[!] borrowing from Nepali
593	Kagate	Fruit	brumd̪o	b.r u.m + d̪ o		Dhakal2024	[x]
849	Lowa	Fruit	ɕiŋt̪oʔ	ɕ i.ŋ + t̪ o.ʔ		Dhakal2024	[x]
1103	Nubri	Fruit	ɕiŋt̪oʔ	ɕ i.ŋ + t̪ o.ʔ		Dhakal2024	[x]
1353	Sherpa	Fruit	pʰalpʰul	pʰ a.l + pʰ u.l		Dhakal2024	[!] borrowing from Nepali
1597	Tsum	Fruit	ɕiŋd̪oʔ	ɕ i.ŋ + d̪ o.ʔ		Dhakal2024	[x]
1859	Yolmo	Fruit	pʰəlbul	pʰ ə.l + b u.l		Dhakal2024	[!] borrowing from Nepali
2282	OldTibetan	Fruit	ɕ.i.ŋ.+.t.o.g	ɕ i.ŋ + t o.g		Sagart2019	
2283	Alike	Fruit	s.i	s i		Sagart2019	
2284	Lhasa	Fruit	ɕ.i.ŋ.⁵⁵.◦.t.o.⁵²	ɕ i.ŋ ⁵⁵ + t o ⁵²		Sagart2019	
2285	Batang	Fruit	xh.ĩ.∼.⁵⁵.◦.th.o.ʔ.⁵³	xʰ ĩ ⁵⁵ + tʰ o.ʔ ⁵³		Sagart2019	
2286	Xiahe	Fruit	sʰ.i._.t.o.χ	sʰ i + t o.χ		Sagart2019	???
2287	OldChinese	Fruit	m.ə.l.i.t	m ə + l i t		Sagart2019	
103	Gyalsumdo	Goat	ɹa	ɹ a		Dhakal2024	[x]
365	Jirel	Goat	ɹa	ɹ a		Dhakal2024	[x]
621	Kagate	Goat	ra	r a		Dhakal2024	[x]
878	Lowa	Goat	ɹa	!ɹ/ɾ a		Dhakal2024	[x]
1131	Nubri	Goat	ɹatse	ɹ a + ts e		Dhakal2024	[x]
1381	Sherpa	Goat	ra	r a		Dhakal2024	[x]
1625	Tsum	Goat	ɹa	ɹ a		Dhakal2024	[x]
1887	Yolmo	Goat	ra	!r/ɹ a		Dhakal2024	[x]
2296	Alike	Goat	tɕh.ə._.r.a	tɕʰ ə + r a		Sagart2019	
2297	Lhasa	Goat	r.a.¹³	r a ¹³		Sagart2019	
2298	Batang	Goat	ʐ.a.²³¹	ʐ a ²³¹		Sagart2019	
2299	Alike	Goat	r.æ._.m.æ	r æ + m æ		Sagart2019	
2300	Xiahe	Goat	r.a._.m.a	r a + m a		Sagart2019	
2301	OldChinese	Goat	ɢ.a.ŋ	ɢ a.ŋ		Sagart2019	
2302	OldTibetan	Goat	r.a	r a		Sagart2019	
144	Gyalsumdo	Good	jabu	j a + b u		Dhakal2024	[x]
402	Jirel	Good	lemu	l e + m u		Dhakal2024	[x]
659	Kagate	Good	jabu	j a + b u		Dhakal2024	[x]
660	Kagate	Good	dzebu	dz e + b u		Dhakal2024	[x]
915	Lowa	Good	ka	k a		Dhakal2024	[x]
916	Lowa	Good	saŋa	s a.ŋ + !Ø/ŋ a		Dhakal2024	[x]
1167	Nubri	Good	koŋ	k o.ŋ		Dhakal2024	[x]
1418	Sherpa	Good	lemu	l e + m u		Dhakal2024	[x]
1661	Tsum	Good	jamu	j a + m u		Dhakal2024	[x]
1923	Yolmo	Good	jabu	j a + b u		Dhakal2024	[x]
2303	OldTibetan	Good	b.z.a.ŋ	b.z a.ŋ		Sagart2019	
2304	Lhasa	Good	j.a.¹³.◦.k.o.⁵⁵	j a ¹³ + k o ⁵⁵		Sagart2019	
2305	Lhasa	Good	l.e.k.¹³.◦.p.o.⁵⁵	l e.k ¹³ + p o ⁵⁵		Sagart2019	
2306	Batang	Good	j.ɑ.¹³.◦.p.ᴜ.⁵³	j ɑ ¹³ + p u ⁵³		Sagart2019	
2307	Batang	Good	z.õ.∼.⁵⁵.◦.b.ᴜ.⁵³	z õ ⁵⁵ + b u ⁵³		Sagart2019	
2308	Xiahe	Good	a._.dz.o	a + dz o		Sagart2019	
2309	Xiahe	Good	z.a.ŋ	z a.ŋ		Sagart2019	
2310	Alike	Good	j.a.k._.k.ə	j a.k + k ə		Sagart2019	
2311	OldChinese	Good	g.e.n.ʔ	g e.n ʔ		Sagart2019	!remove!
2312	OldChinese	Good	kˤ.r.e	kˤ.r e		Sagart2019	!remove!
2313	OldChinese	Good	r.a.ŋ	r a.ŋ		Sagart2019	!remove!
2314	OldChinese	Good	tsˤ.a.ŋ	tsˤ a.ŋ		Sagart2019	
2315	OldChinese	Good	kˤ.r.a.j	kˤ.r a.j		Sagart2019	!remove!
2316	OldChinese	Good	qʰˤ.u.ʔ	qʰˤ u ʔ		Sagart2019	
235	Gyalsumdo	Hailstone	seɹa	s e + ɹ a		Dhakal2024	
497	Jirel	Hailstone	seɹe	s e + ɹ e		Dhakal2024	
745	Kagate	Hailstone	serak	s e + r a.k		Dhakal2024	
1005	Lowa	Hailstone	seɾa	s e + ɾ a		Dhakal2024	
1252	Nubri	Hailstone	kʰaɕjol	kʰ a + ɕ.j o.l		Dhakal2024	
1501	Sherpa	Hailstone	sertɕjuŋma	s e.r + tɕ.j u.ŋ + m a		Dhakal2024	
1752	Tsum	Hailstone	seɹa	s e + ɹ a		Dhakal2024	
1753	Tsum	Hailstone	tɕʰjaɹwa	tɕʰ.j a + !ɹw/ɹ a		Dhakal2024	
2008	Yolmo	Hailstone	seɹa	s e + ɹ a		Dhakal2024	
2317	Batang	Hailstone	sh.ɑ.⁵⁵	sʰ ɑ ⁵⁵		Sagart2019	
2318	Lhasa	Hailstone	s.eː.⁵⁵.◦.r.a.⁵⁵	s eː ⁵⁵ + r a ⁵⁵		Sagart2019	!
2319	Xiahe	Hailstone	sʰ.e._.r.a	sʰ e + r a		Sagart2019	???
2320	Alike	Hailstone	s.e._.r.a	s e + r a		Sagart2019	
2321	OldChinese	Hailstone	C/.+.bˤ.r.u.k	ç/k + bˤ.r u.k		Sagart2019	
2322	OldChinese	Hailstone	sˤ.e.r.+.s	sˤ e.r + s		Sagart2019	
2323	OldTibetan	Hailstone	s.e.r.+.b.a	s e.r + b a		Sagart2019	
3	Gyalsumdo	Hair	ta	t̪ a		Dhakal2024	skra «Haar»
270	Jirel	Hair	ŋɡokita	ⁿg/g o + k i + t̪ a		Dhakal2024	skra «Haar»
529	Kagate	Hair	ta	t̪ a		Dhakal2024	skra «Haar»
782	Lowa	Hair	ʂɹa	ʂ.ɹ/ɾ a		Dhakal2024	skra «Haar»
1040	Nubri	Hair	hɹa	h.ɹ a		Dhakal2024	skra «Haar»
1288	Sherpa	Hair	hɹa	h.ɹ a		Dhakal2024	skra «Haar»
1533	Tsum	Hair	tɹa	t̪.ɹ a		Dhakal2024	skra «Haar»
1794	Yolmo	Hair	tɹa	t̪.ɹ a		Dhakal2024	skra «Haar»
2324	OldTibetan	Hair	s.k.r.a	s.k r.a		Sagart2019	
2325	Alike	Hair	r.cç.æ	r.cç æ		Sagart2019	!
2326	Batang	Hair	tʂ.a.⁵³	ʈʂ a ⁵³		Sagart2019	
2327	Lhasa	Hair	tʂ.a.⁵⁵	ʈʂ a ⁵⁵		Sagart2019	
2328	Xiahe	Hair	h.tɕ.a	h tɕ a		Sagart2019	!
2329	OldChinese	Hair	p.o.t	p o.t		Sagart2019	
2	Gyalsumdo	Head	ko	k o		Dhakal2024	[x]
269	Jirel	Head	ŋɡo	ⁿg/g o		Dhakal2024	[x]
528	Kagate	Head	ɡo	g o		Dhakal2024	[x]
780	Lowa	Head	ŋɡo	ⁿg/g o		Dhakal2024	[x]
781	Lowa	Head	ŋɡowa	ⁿg/g o + w a		Dhakal2024	[ ] wa-suffix
1039	Nubri	Head	ko	k o		Dhakal2024	[x]
1287	Sherpa	Head	ɡo	g o		Dhakal2024	[x]
1532	Tsum	Head	ŋɡo	ⁿg/g o		Dhakal2024	[x]
1793	Yolmo	Head	ŋɡo	ⁿg/g o		Dhakal2024	[x]
2330	OldTibetan	Head	m.g.o	m.g o		Sagart2019	
2331	Lhasa	Head	k.o.¹³	k o ¹³		Sagart2019	
2332	Batang	Head	ŋ.g.ᴜ.⁵³	ⁿg u ⁵³		Sagart2019	!
2333	Xiahe	Head	n.g.o._.t.ə	ⁿg o + t ə		Sagart2019	!
2334	Alike	Head	n.g.o	ⁿg o		Sagart2019	!
2335	OldChinese	Head	ŋ.o.r	ŋ o.r		Sagart2019	!remove!
2336	OldChinese	Head	l̥.u.ʔ	l̥ u.ʔ		Sagart2019	
2337	OldTibetan	Head	d.b.u	d.b u		Sagart2019	
25	Gyalsumdo	Heart	ɲiŋ	ɲ i.ŋ		Dhakal2024	[x]
288	Jirel	Heart	ɲiŋ	ɲ i.ŋ		Dhakal2024	[x]
548	Kagate	Heart	niŋ	n i.ŋ		Dhakal2024	[x]
801	Lowa	Heart	ɲiŋ	ɲ i.ŋ		Dhakal2024	[x]
1058	Nubri	Heart	ɲiŋ	ɲ i.ŋ		Dhakal2024	[x]
1306	Sherpa	Heart	ɲiŋ	ɲ i.ŋ		Dhakal2024	[x]
1551	Tsum	Heart	ɲiŋ	ɲ i.ŋ		Dhakal2024	[x]
1813	Yolmo	Heart	ɲiŋ	ɲ i.ŋ		Dhakal2024	[x]
2338	OldTibetan	Heart	s.ɲ.i.ŋ	s.ɲ i.ŋ		Sagart2019	
2339	Lhasa	Heart	ȵ.i.ŋ.⁵⁵	ȵ i.ŋ ⁵⁵		Sagart2019	
2340	Batang	Heart	ȵ.ĩ.∼.⁵⁵	ȵ ĩ ⁵⁵		Sagart2019	
2341	Xiahe	Heart	h.ȵ.a.ŋ	h.ȵ a.ŋ		Sagart2019	
2342	Alike	Heart	r.ȵ̥.a.ŋ	r.ȵ̥ a.ŋ		Sagart2019	!
2343	OldChinese	Heart	s.ə.m	s ə.m		Sagart2019	
158	Gyalsumdo	Heavy	tɕent̪i	tɕ e + ⁿt̪/t̪ i		Dhakal2024	l.dʑ.i.d «heavy»
417	Jirel	Heavy	tsend̪e	!ts/tɕ e + ⁿd̪/d̪ e		Dhakal2024	l.dʑ.i.d «heavy»
675	Kagate	Heavy	tsend̪i	!ts/tɕ e + ⁿd̪/d̪ i		Dhakal2024	l.dʑ.i.d «heavy»
931	Lowa	Heavy	ndze	!ⁿdz/tɕ e		Dhakal2024	l.dʑ.i.d «heavy»
1181	Nubri	Heavy	tsʰint̪i	!tsʰ/tɕ i + ⁿt̪/t̪ i		Dhakal2024	l.dʑ.i.d «heavy»
1432	Sherpa	Heavy	tsend̪i	!ts/tɕ e + ⁿd̪/d̪ i		Dhakal2024	l.dʑ.i.d «heavy»
1675	Tsum	Heavy	tɕend̪e	tɕ e + ⁿd̪/d̪ e		Dhakal2024	l.dʑ.i.d «heavy»
1937	Yolmo	Heavy	tɕjand̪i	tɕj/tɕ a + ⁿd̪/d̪ i		Dhakal2024	l.dʑ.i.d «heavy»
2344	OldTibetan	Heavy	l.dʑ.i.d	l.dʑ i.d		Sagart2019	
2345	Alike	Heavy	r.dʑ.ə._.ɣ.ə	r.dʑ ə + ɣ ə		Sagart2019	!
2346	Lhasa	Heavy	tɕ.i.¹³.◦.p.u.⁵⁵	tɕ i ¹³ + p u ⁵⁵		Sagart2019	
2347	Batang	Heavy	dʑ.i.⁵⁵.◦.p.ᴜ.⁵³	dʑ i ⁵⁵ + p u ⁵³		Sagart2019	
2348	Xiahe	Heavy	dʑ.ə._.m.o	dʑ ə + m o		Sagart2019	
2349	OldChinese	Heavy	ɴ.+.t.r.o.ŋ.ʔ	ɴ + t.r o.ŋ ʔ		Sagart2019	
101	Gyalsumdo	Horns	ɹakjo	ɹ a + k.j o		Dhakal2024	[x]
363	Jirel	Horns	ɹodʑjo	ɹ o + dʑj/dʑ o		Dhakal2024	[x]
619	Kagate	Horns	rwaɡa	r.w a + g a		Dhakal2024	[x]
876	Lowa	Horns	ɹakjoʔ	ɹ/ɾ a + k.j o.ʔ		Dhakal2024	[x]
1129	Nubri	Horns	adkjo	!a/ɹ.!d/a + k.j o		Dhakal2024	[x]
1379	Sherpa	Horns	arkjok	!a/r.!r/a + k.j o.k		Dhakal2024	[x]
1623	Tsum	Horns	padʑjo	p a + dʑj/dʑ o		Dhakal2024	[x]
1885	Yolmo	Horns	ɹowa	ɹ o + w a		Dhakal2024	[x]
2350	OldTibetan	Horns	g.r.u	g.r u		Sagart2019	
2351	Lhasa	Horns	r.a.⁵⁵.◦.k.o.⁵²	r a ⁵⁵ + k o ⁵²		Sagart2019	
2352	Alike	Horns	r.a._.tɕh.o	r a + tɕʰ o		Sagart2019	
2353	Batang	Horns	ʐ.a.¹³.◦.j.o.⁵³	ʐ a ¹³ + j o ⁵³		Sagart2019	
2354	Xiahe	Horns	r.a._.tɕ.o	r a + tɕ o		Sagart2019	
2355	OldChinese	Horns	C/.+.kˤ.r.o.k	ç/k + kˤ.r o.k		Sagart2019	
243	Gyalsumdo	Horse	t̪abu	t̪ a + b u		Dhakal2024	
504	Jirel	Horse	ŋɡoda	ⁿg/g o + !d/t̪ a		Dhakal2024	
753	Kagate	Horse	t̪abu	t̪ a + b u		Dhakal2024	
1012	Lowa	Horse	t̪a	t̪ a		Dhakal2024	
1259	Nubri	Horse	t̪a	t̪ a		Dhakal2024	
1508	Sherpa	Horse	t̪a	t̪ a		Dhakal2024	
1761	Tsum	Horse	t̪a	t̪ a		Dhakal2024	
2016	Yolmo	Horse	t̪əbu	t̪ ə + b u		Dhakal2024	
2356	Alike	Horse	r.t.æ	r.t æ		Sagart2019	!
2357	Lhasa	Horse	t.a.⁵⁵	t a ⁵⁵		Sagart2019	
2358	Batang	Horse	t.a.⁵³	t a ⁵³		Sagart2019	
2359	Xiahe	Horse	h.t.a	h.t a		Sagart2019	!
2360	OldChinese	Horse	mˤ.r.a.ʔ	mˤ.r a ʔ		Sagart2019	final nasal lost: loan < Qiangic
2361	OldTibetan	Horse	r.t.a	r.t a		Sagart2019	Mongolian axt 'castrated horse'. LS
150	Gyalsumdo	Hot	tsʰant̪i	tsʰ a + ⁿt̪/t̪ i		Dhakal2024	[x]
408	Jirel	Hot	tʰommu	t̪ʰ o + mː/m u		Dhakal2024	[x]
667	Kagate	Hot	dombo	d̪ o + ⁿb/b o		Dhakal2024	[x]
923	Lowa	Hot	tsʰa	tsʰ a		Dhakal2024	[x]
1173	Nubri	Hot	tsʰawo	tsʰ a + w o		Dhakal2024	[x]
1424	Sherpa	Hot	tsʰand̪i	tsʰ a + ⁿd̪/d̪ i		Dhakal2024	[x]
1667	Tsum	Hot	tsʰand̪e	tsʰ a + ⁿd̪/d̪ e		Dhakal2024	[x]
1929	Yolmo	Hot	tomu	t̪ o + m u		Dhakal2024	[x]
2362	Lhasa	Hot	tsʰ.a.⁵⁵.◦.p.o.⁵⁵	tsʰ a ⁵⁵ + p o ⁵⁵		Sagart2019	
2363	Batang	Hot	tsʰ.a.⁵⁵.◦.m.ᴜ.⁵³	tsʰ a ⁵⁵ + m u ⁵³		Sagart2019	
2364	Xiahe	Hot	h.ŋ.u	h.ŋ u		Sagart2019	
