ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS_IN_SOURCE	TOKENS	COGID
279	Jirel	Belly	suba	suba	s u + b a	s u + b a	1193
280	Jirel	Arm/Hand	lakpa	lakpa	l a k + p a	l a.k + p a	
281	Jirel	Elbow	kuin̪a	kuin̪a	k ui + n a	k ui + n a	
282	Jirel	Palm	pəɹa	pəɹa	p ə + ɹ a	p ə + ɹ a	
283	Jirel	Finger	ndziu	ndziu	ⁿdz/dz iu	ⁿdz/dz iu	
284	Jirel	Fingernail	seɹmuk	seɹmuk	s e ɹ + m u k	s e.ɹ + m u.k	
285	Jirel	Leg	tʰekpa	tʰekpa	t̪ʰ e k + p a	t̪ʰ e.k + p a	
286	Jirel	Skin	kokt̪en	kokt̪en	k o k + t̪ e n	k o.k + t̪ e.n	726
287	Jirel	Bone	ɹuba	ɹuba	ɹ u + b a	ɹ u + b a	1208
288	Jirel	Heart	ɲiŋ	ɲiŋ	ɲ i ŋ	ɲ i.ŋ	1288
289	Jirel	Blood	tʰak	tʰak	t̪ʰ a k	t̪ʰ a.k	1206
290	Jirel	Urine	tsiŋ	tsiŋ	ts i ŋ	ts i.ŋ	
291	Jirel	Faeces	kjakpa	kjakpa	k j a k + p a	k.j a.k + p a	
292	Jirel	Village	jul	jul	j u l	j u.l	
293	Jirel	House	kʰamba	kʰamba	kʰ a !m/ŋ + b a	kʰ a.!m/ŋ + b a	1301
294	Jirel	Roof	tsʰanu	tsʰanu	tsʰ a + n u	tsʰ a + n u	
295	Jirel	Door	ŋɡo	ŋɡo	ⁿg/g o	ⁿg/g o	
296	Jirel	Firewood	ɕiŋ	ɕiŋ	ɕ i ŋ	ɕ i.ŋ	1254
297	Jirel	Broom	komuk	komuk	k o + m u k	k o + m u.k	
298	Jirel	Mortar	siləuta	siləuta	s i + l ə !u/p + t̪ a	s i + l ə.!u/p + t̪ a	
299	Jirel	Pestle	nd̪aɹd̪ok	nd̪aɹd̪ok	ⁿd/d̪ a ɹ + d̪ o k	ⁿd/d̪ a.ɹ + d̪ o.k	
300	Jirel	Hammer	toktoke	toktoke	t̪ o k + t̪ o + k e	t̪ o.k + t̪ o + k e	
301	Jirel	Knife	tɕʰuɹa	tɕʰuɹa	!tɕʰ/t̪ʰ u + ɹ a	!tɕʰ/t̪ʰ u + ɹ a	1313
302	Jirel	Knife	tsəku	tsəku	ts ə + k u	ts ə + k u	1313
303	Jirel	Axe	t̪əɹi	t̪əɹi	t̪ ə + ɹ i	t̪ ə + ɹ i	
304	Jirel	Rope	t̪ʰakpa	t̪ʰakpa	t̪ʰ a k + p a	t̪ʰ a.k + p a	1374
305	Jirel	Thread	ɕut̪ak	ɕut̪ak	ɕ u + t̪ a k	ɕ u + t̪ a.k	
306	Jirel	Needle	kʰap	kʰap	kʰ a p	kʰ a.p	1348
307	Jirel	Cloth	kʰolak	kʰolak	!kʰ/k o + l a k	!kʰ/k o + l a.k	
308	Jirel	Ring	əũtʰi	əũtʰi	ə ũ + t̪ʰ i	ə.ũ + t̪ʰ i	
309	Jirel	Sun	ɲima	ɲima	ɲ i + m a	ɲ i + m a	1418
310	Jirel	Moon	nd̪aɡaɹ	nd̪aɡaɹ	ⁿd/d̪ a + g/k a ɹ	ⁿd/d̪ a + g/k a.ɹ	1327
311	Jirel	Sky	n̪am	n̪am	!n̪/n a m	!n̪/n a.m	1392
312	Jirel	Star	kaɹma	kaɹma	k a ɹ + m a	k a.ɹ + m a	1410
313	Jirel	Rain	tɕʰjaɹba	tɕʰjaɹba	tɕʰ j a ɹ + b a	tɕʰ.j a.ɹ + b a	
314	Jirel	Water	tɕʰju	tɕʰju	tɕʰj/tɕʰ u	tɕʰj/tɕʰ u	1458
315	Jirel	River	tʰaŋka	tʰaŋka	!tʰ/ts a ŋ + k a	!tʰ/ts a.ŋ + k a	1368
316	Jirel	Cloud	mukpa	mukpa	m u k + p a	m u.k + p a	176
317	Jirel	Lightening	tsilim	tsilim	ts i + l !i/a m	ts i + l !i/a.m	
318	Jirel	Lightening	tsilam	tsilam	ts i + l a m	ts i + l a.m	
319	Jirel	Rainbow	ndza	ndza	ⁿdz/dz a	ⁿdz/dz a	1358
320	Jirel	Wind	hlaba	hlaba	h l a + b a	h.l a + b a	1486
321	Jirel	Stone	nd̪o	nd̪o	ⁿd/d̪ o	ⁿd/d̪ o	1416
322	Jirel	Path	lam	lam	l a m	l a.m	
323	Jirel	Sand	pʰesa	pʰesa	pʰ e + s a	pʰ e + s a	1382
324	Jirel	Fire	me	me	m e	m e	1251
325	Jirel	Smoke	t̪ʰut̪ak	t̪ʰut̪ak	t̪ʰ u + t̪ a k	t̪ʰ u + t̪ a.k	
326	Jirel	Ash	t̪ʰala	t̪ʰala	t̪ʰ a + l a	t̪ʰ a + l a	
327	Jirel	Mud	səbi	səbi	s ə + b i	s ə + b i	534
328	Jirel	Dust	d̪ulo	d̪ulo	!d̪/t̪ʰ !u/a + l !o/a	!d̪/t̪ʰ !u/a + l !o/a	1237
329	Jirel	Gold	seɹ	seɹ	s e ɹ	s e.ɹ	
330	Jirel	Tree	nd̪oŋbo	nd̪oŋbo	ⁿd/d̪ o ŋ + b o	ⁿd/d̪ o.ŋ + b o	1039
331	Jirel	Leaf	ɕjomak	ɕjomak	ɕj/ɕ o + m a k	ɕj/ɕ o + m a.k	2
332	Jirel	Root	tsapɹen	tsapɹen	ts a + p ɹ e n	ts a + p.ɹ e.n	1371
333	Jirel	Thorn	tsaŋ	tsaŋ	ts a ŋ	ts a.ŋ	
334	Jirel	Flower	mend̪ok	mend̪ok	m e + ⁿd/d̪ o k	m e + ⁿd/d̪ o.k	1257
335	Jirel	Fruit	pʰəlpʰul	pʰəlpʰul	pʰ ə l + pʰ u l	pʰ ə.l + pʰ u.l	310
336	Jirel	Mango	ãp	ãp	ã p	ã.p	
337	Jirel	Banana	ɹeŋaɕiŋ	ɹeŋaɕiŋ	ɹ e + ŋ a + ɕ i ŋ	ɹ e + ŋ a + ɕ i.ŋ	
338	Jirel	Wheat (husked)	tʰa	tʰa	t̪ʰ a	t̪ʰ a	1091
339	Jirel	Barley	ndzəu	ndzəu	!ⁿdz/ts əu	!ⁿdz/ts əu	1190
340	Jirel	Rice (husked)	ɕjoɹok	ɕjoɹok	ɕ j o + ɹ o k	ɕ.j o + ɹ o.k	
341	Jirel	Potato	ɹeɡe	ɹeɡe	ɹ e + g e	ɹ e + g e	
342	Jirel	Eggplant	pənda	pənda	p ə n + d̪ a	p ə.n + d̪ a	
343	Jirel	Groundnut	mbəd̪am	mbəd̪am	ⁿb/b ə + d̪ a m	ⁿb/b ə + d̪ a.m	
344	Jirel	Chilli	kʰuɹɕani	kʰuɹɕani	kʰ u ɹ + ɕ a !ni/n	kʰ u.ɹ + ɕ a.!ni/n	
345	Jirel	Turmeric	mbesaɹ	mbesaɹ	ⁿb/b e + s a ɹ	ⁿb/b e + s a.ɹ	
346	Jirel	Garlic	ŋɡokpa	ŋɡokpa	ⁿg/g o k + p a	ⁿg/g o.k + p a	
347	Jirel	Onion	pjats	pjats	p j a ts	p.j a.ts	
348	Jirel	Cauliflower	kauli	kauli	k au + l i	k au + l i	
349	Jirel	Tomato	ŋɡolbeda	ŋɡolbeda	ⁿg/g o l + b e + d̪ a	ⁿg/g o.l + b e + d̪ a	
350	Jirel	Cabbage	bənd̪a	bənd̪a	b ə n + d̪ a	b ə.n + d̪ a	
351	Jirel	Oil	məɹɡu	məɹɡu	m ə ɹ + g u	m ə.ɹ + g u	
352	Jirel	Salt	tsʰa	tsʰa	tsʰ a	tsʰ a	1380
353	Jirel	Meat	ɕja	ɕja	ɕ j a	ɕ.j a	1325
354	Jirel	Fat (of meat)	tsʰiluk	tsʰiluk	tsʰ i + l u k	tsʰ i + l u.k	
355	Jirel	Fish	ɲa	ɲa	ɲ a	ɲ a	1255
356	Jirel	Chicken	tsʰiɹbuk	tsʰiɹbuk	tsʰ i !ɹ/b + !b/ɹ u k	tsʰ i.!ɹ/b + !b/ɹ u.k	
357	Jirel	Egg	tsʰemend̪ok	tsʰemend̪ok	tsʰ e + m e n + d̪ o k	tsʰ e + m e.n + d̪ o.k	224
358	Jirel	Egg	tsʰeɡoŋa	tsʰeɡoŋa	tsʰ e + g o + ŋ a	tsʰ e + g o + ŋ a	1242
359	Jirel	Cow	pʰalaŋ	pʰalaŋ	pʰ a + l a ŋ	pʰ a + l a.ŋ	
360	Jirel	Buffalo	meɕja	meɕja	m e + !ɕj/j a	m e + !ɕj/j a	
361	Jirel	Milk	olen	olen	o + l e n	o + l e.n	
362	Jirel	Milk	oma	oma	o + m a	o + m a	
363	Jirel	Horns	ɹodʑjo	ɹodʑjo	ɹ o + dʑj/dʑ o	ɹ o + dʑj/dʑ o	1292
364	Jirel	Tail	ŋama	ŋama	ŋ a + m a	ŋ a + m a	1419
365	Jirel	Goat	ɹa	ɹa	ɹ a	ɹ a	1269
366	Jirel	Dog	ki	ki	!k/kʰ i	!k/kʰ i	1231
367	Jirel	Snake	ɹul	ɹul	ɹ u l	ɹ u.l	1401
368	Jirel	Monkey	moɹo	moɹo	m o + ɹ o	m o + ɹ o	
369	Jirel	Monkey	tʰaklapʰikant̪e	tʰaklapʰikant̪e	t̪ʰ a + k l a + pʰ i + k a n + t̪ e	t̪ʰ a + k l a + pʰ i + k a n + t̪ e	
370	Jirel	Mosquito	lamkute	lamkute	l a m + k u + t̪ e	l a.m + k u + t̪ e	523
371	Jirel	Ant	tʰoŋmatsi	tʰoŋmatsi	t̪ʰ o ŋ + m a + ts i	t̪ʰ o.ŋ + m a + ts i	1183
372	Jirel	Spider	ŋɡwãpali	ŋɡwãpali	ⁿg/g w ã + p a + l i	ⁿg/g.w ã + p a + l i	61
373	Jirel	Name	min̪	min̪	m i n	m i.n	1344
374	Jirel	Man	mi	mi	m i	m i	
375	Jirel	Woman	pʰemmemi	pʰemmemi	pʰ e m + m e + m i	pʰ e.m + m e + m i	1489
376	Jirel	Child	pʰidza	pʰidza	pʰ i + dz a	pʰ i + dz a	
377	Jirel	Father	aba	aba	a + b a	a + b a	1249
378	Jirel	Mother	ãma	ãma	!ã/a + m a	!ã/a + m a	1338
379	Jirel	Older brother	adʑjo	adʑjo	a + !dʑj/tɕ o	a + !dʑj/tɕ o	
380	Jirel	Younger brother	n̪ũwã	n̪ũwã	!n̪/n !ũ/u + w ã	!n̪/n !ũ/u + w ã	
381	Jirel	Older sister	adzi	adzi	a + dz i	a + dz i	
382	Jirel	Younger sister	n̪umu	n̪umu	!n̪/n u + m u	!n̪/n u + m u	
383	Jirel	Son	pʰudʑuŋ	pʰudʑuŋ	pʰ u + dʑ u ŋ	pʰ u + dʑ u.ŋ	1403
384	Jirel	Daughter	pʰumu	pʰumu	pʰ u + m u	pʰ u + m u	1227
385	Jirel	Husband	kʰjobo	kʰjobo	kʰ j o + b o	kʰ.j o + b o	1304
386	Jirel	Wife	pʰemme	pʰemme	pʰ e m + m e	pʰ e.m + m e	1121
387	Jirel	Boy	kʰojobopidza	kʰojobopidza	kʰ o + j o + b o + !p/pʰ i + dz a	kʰ o + j o + b o + !p/pʰ i + dz a	
388	Jirel	Girl	pʰemmepidza	pʰemmepidza	pʰ e m + m e + !p/pʰ i + dz a	pʰ e.m + m e + !p/pʰ i + dz a	
389	Jirel	Day	ɲima	ɲima	ɲ i + m a	ɲ i + m a	
390	Jirel	Night	ŋɡwase	ŋɡwase	ⁿg/g w a + s e	ⁿg/g.w a + s e	
391	Jirel	Morning	ŋomu	ŋomu	ŋ o + m u	ŋ o + m u	1331
392	Jirel	Noon	ɲimmu	ɲimmu	ɲ i + m !Ø/a + m u	ɲ i + m !Ø/a + m u	
393	Jirel	Evening	ŋɡwase	ŋɡwase	ⁿg/g w a + s e	ⁿg/g.w a + s e	
394	Jirel	Yesterday	nd̪aŋ	nd̪aŋ	ⁿd/d̪ a ŋ	ⁿd/d̪ a.ŋ	1151
395	Jirel	Today	tʰəɹiŋ	tʰəɹiŋ	!tʰ/t̪ ə + ɹ i ŋ	!tʰ/t̪ ə + ɹ i.ŋ	1438
396	Jirel	Tomorrow	ŋaɹo	ŋaɹo	ŋ a !Ø/ɹ + ɹ o	ŋ a.!Ø/ɹ + ɹ o	1028
397	Jirel	Week	həpt̪a	həpt̪a	h ə p + t̪ a	h ə.p + t̪ a	
398	Jirel	Month	nd̪awa	nd̪awa	ⁿd/d̪ a + w a	ⁿd/d̪ a + w a	
399	Jirel	Year	lo	lo	l o	l o	1494
400	Jirel	Old	ɲiŋba	ɲiŋba	ɲ i ŋ + b a	ɲ i.ŋ + b a	
401	Jirel	New	samba	samba	s a + ⁿb/b a	s a + ⁿb/b a	1349
402	Jirel	Good	lemu	lemu	l e + m u	l e + m u	1273
403	Jirel	Bad	meleba	meleba	m e + l e + b a	m e + l e + b a	110
404	Jirel	Wet	tʰəŋɡe	tʰəŋɡe	t̪ʰ ə ŋ + g e	t̪ʰ ə.ŋ + g e	179
405	Jirel	Dry	kombo	kombo	k o m + !b/p o	k o.m + !b/p o	1234
406	Jirel	Long	ɹimbu	ɹimbu	ɹ i !m/ŋ + b u	ɹ i.!m/ŋ + b u	1321
407	Jirel	Short	t̪ʰumma	t̪ʰumma	t̪ʰ u m + m a	t̪ʰ u.m + m a	1386
408	Jirel	Hot	tʰommu	tʰommu	t̪ʰ o + mː/m u	t̪ʰ o + mː/m u	398
409	Jirel	Cold	tʰəŋɡe	tʰəŋɡe	t̪ʰ ə ŋ + g e	t̪ʰ ə.ŋ + g e	179
410	Jirel	Right	samapa	samapa	s a + m a + p a	s a + m a + p a	660
411	Jirel	Left	d̪ebɹepa	d̪ebɹepa	d̪ e + b ɹ e + p a	d̪ e + b.ɹ e + p a	437
412	Jirel	Near	ɲibid̪u	ɲibid̪u	ɲ i + b i + d̪ u	ɲ i + b i + d̪ u	1345
413	Jirel	Far	t̪ʰaɹid̪u	t̪ʰaɹid̪u	t̪ʰ a + ɹ i !Ø/n + d̪ u	t̪ʰ a + ɹ i.!Ø/n + d̪ u	1247
414	Jirel	Far	t̪ʰaɹipa	t̪ʰaɹipa	t̪ʰ a + ɹ i !Ø/n + p a	t̪ʰ a + ɹ i.!Ø/n + p a	1247
415	Jirel	Big	ndzod̪a	ndzod̪a	ⁿdz/dz o + d̪ a	ⁿdz/dz o + d̪ a	1195
416	Jirel	Small	tikti	tikti	t̪ i k + t̪ i	t̪ i.k + t̪ i	733
417	Jirel	Heavy	tsend̪e	tsend̪e	!ts/tɕ e + ⁿd̪/d̪ e	!ts/tɕ e + ⁿd̪/d̪ e	1290
418	Jirel	Light	jeŋɡe	jeŋɡe	j e ŋ + g e	j e.ŋ + g e	1319
419	Jirel	Above	jine	jine	j i + n e	j i + n e	3
420	Jirel	Below	mima	mima	m i + m a	m i + m a	
421	Jirel	White	kaɹmu	kaɹmu	k a ɹ + m u	k a.ɹ + m u	1472
422	Jirel	Black	naɡpo	naɡpo	n a g/k + p o	n a.g/k + p o	1203
423	Jirel	Red	məɹmu	məɹmu	m !ə/a ɹ + m u	m !ə/a.ɹ + m u	1360
424	Jirel	One	nd̪okpəi	nd̪okpəi	ⁿd/d̪ o k + p əi	ⁿd/d̪ o.k + p əi	16
425	Jirel	One	tɕik	tɕik	tɕ i k	tɕ i.k	1354
426	Jirel	Two	ɲi	ɲi	ɲ i	ɲ i	1452
427	Jirel	Three	sum	sum	s u m	s u.m	1433
428	Jirel	Four	ɕi	ɕi	ɕ i	ɕ i	1262
429	Jirel	Five	ŋa	ŋa	ŋ a	ŋ a	1310
430	Jirel	Six	tʰok	tʰok	t̪ʰ o k	t̪ʰ o.k	1388
431	Jirel	Seven	nd̪uin	nd̪uin	ⁿd/d̪ ui n	ⁿd/d̪ ui.n	1384
432	Jirel	Eight	ŋɡet̪	ŋɡet̪	ⁿg/g e t̪	ⁿg/g e.t̪	1245
433	Jirel	Nine	ŋɡu	ŋɡu	ⁿg/g u	ⁿg/g u	1351
434	Jirel	Ten	tɕut̪amba	tɕut̪amba	tɕ u + t̪ a m + b a	tɕ u + t̪ a.m + b a	1422
435	Jirel	Eleven	tɕutɕik	tɕutɕik	tɕ u + tɕ i k	tɕ u + tɕ i.k	
436	Jirel	Twelve	tɕuŋɲi	tɕuŋɲi	tɕ u ŋ/Ø + ɲ i	tɕ u.ŋ/Ø + ɲ i	
437	Jirel	Twenty	kʰaldʑik	kʰaldʑik	kʰ a l + !dʑ/tɕ i k	kʰ a.l + !dʑ/tɕ i.k	1051
438	Jirel	One Hundred	kʰalŋa	kʰalŋa	kʰ a l + ŋ a	kʰ a.l + ŋ a	594
439	Jirel	Who	su	su	s u	s u	1474
440	Jirel	What	tɕi	tɕi	tɕ i	tɕ i	1464
441	Jirel	Where	kʰapa	kʰapa	kʰ a + p a	kʰ a + p a	1470
442	Jirel	When	n̪am	n̪am	!n̪/n a m	!n̪/n a.m	
443	Jirel	How many	t̪ʰoji	t̪ʰoji	t̪ʰ o + j i	t̪ʰ o + j i	
444	Jirel	Which	kʰaŋ	kʰaŋ	!kʰ/k a ŋ	!kʰ/k a.ŋ	
445	Jirel	This	nd̪i	nd̪i	ⁿd/d̪ i	ⁿd/d̪ i	1428
446	Jirel	That	t̪ʰe	t̪ʰe	t̪ʰ e	t̪ʰ e	785
447	Jirel	These	nd̪iba	nd̪iba	ⁿd/d̪ i + b a	ⁿd/d̪ i + b a	
448	Jirel	Those	t̪ʰeba	t̪ʰeba	t̪ʰ e + b a	t̪ʰ e + b a	
449	Jirel	Same	t̪ʰokɹaŋ	t̪ʰokɹaŋ	t̪ʰ o k + ɹ a ŋ	t̪ʰ o.k + ɹ a.ŋ	
450	Jirel	Different	kʰud̪uk	kʰud̪uk	kʰ u + d̪ u k	kʰ u + d̪ u.k	
451	Jirel	Whole	ŋɡaŋe	ŋɡaŋe	ⁿg/g a + ŋ e	ⁿg/g a + ŋ e	
452	Jirel	Broken	tɕʰakpat̪e	tɕʰakpat̪e	tɕʰ a k + p a + t̪ e	tɕʰ a.k + p a + t̪ e	
453	Jirel	Few	tikpidʑik	tikpidʑik	t̪ i k + p i + dʑ i k	t̪ i.k + p i + dʑ i.k	
454	Jirel	Many	kalbe	kalbe	k a l + b e	k a.l + b e	478
455	Jirel	All	ŋɡaŋe	ŋɡaŋe	ⁿg/g a + ŋ e	ⁿg/g a + ŋ e	1067
456	Jirel	To eat	so	so	s o	s o	1240
457	Jirel	To eat	soba	soba	s o + b a	s o + b a	1240
458	Jirel	To eat	sabla	sabla	s a b + l a	s a.b + l a	1240
459	Jirel	To bite	muɹtɕja	muɹtɕja	m u ɹ + tɕ j a	m u.ɹ + tɕ.j a	1202
460	Jirel	To bite	muɹab	muɹab	m u !Ø/ɹ + ɹ a b	m u.!Ø/ɹ + ɹ a.b	1202
461	Jirel	To be hungry	t̪oaba	t̪oaba	t̪ o + !Ø/w a + b a	t̪ o + !Ø/w a + b a	
462	Jirel	To be hungry	t̪oabalabat̪e	t̪oabalabat̪e	t̪ o + !Ø/w a + b a + l a + b a + t̪ e	t̪ o + !Ø/w a + b a + l a + b a + t̪ e	
463	Jirel	To drink	t̪ʰuŋ	t̪ʰuŋ	t̪ʰ u ŋ	t̪ʰ u.ŋ	1232
464	Jirel	To drink	t̪ʰubat̪e	t̪ʰubat̪e	t̪ʰ u !Ø/ŋ + b a + t̪ e	t̪ʰ u.!Ø/ŋ + b a + t̪ e	1232
465	Jirel	To be thirsty	komba	komba	k o m + b a	k o.m + b a	
466	Jirel	To sleep	ɲol	ɲol	ɲ !o/a l	ɲ !o/a.l	1394
467	Jirel	To sleep	ɲalat̪e	ɲalat̪e	ɲ a !Ø/l + l a + t̪ e	ɲ a.!Ø/l + l a + t̪ e	1394
468	Jirel	To lie	ɹilat̪e	ɹilat̪e	ɹ i + l a + t̪ e	ɹ i + l a + t̪ e	
469	Jirel	To lie	pəltekʰabat̪e	pəltekʰabat̪e	p ə l + t̪ e + kʰ a + b a + t̪ e	p ə.l + t̪ e + kʰ a + b a + t̪ e	
470	Jirel	To sit	d̪et̪at̪e	d̪et̪at̪e	d̪ e + t̪ a + t̪ e	d̪ e + t̪ a + t̪ e	
471	Jirel	To give	mbind̪at̪e	mbind̪at̪e	ⁿb/b i n + d̪ a + t̪ e	ⁿb/b i.n + d̪ a + t̪ e	1266
472	Jirel	To burn	tsʰikpat̪e	tsʰikpat̪e	tsʰ i k + !p/b a + t̪ e	tsʰ i.k + !p/b a + t̪ e	
473	Jirel	To burn	tsʰikt̪uk	tsʰikt̪uk	tsʰ i k + t̪ u k	tsʰ i.k + t̪ u.k	
474	Jirel	To die	ɕjapt̪e	ɕjapt̪e	ɕ j a p + t̪ e	ɕ.j a.p + t̪ e	883
475	Jirel	To kill	set̪at̪e	set̪at̪e	s e + t̪ a + t̪ e	s e + t̪ a + t̪ e	1311
476	Jirel	To fly	pʰuɹ	pʰuɹ	pʰ u ɹ	pʰ u.ɹ	1259
477	Jirel	To fly	pʰuɹat̪e	pʰuɹat̪e	pʰ u !Ø/ɹ + ɹ a + t̪ e	pʰ u.!Ø/ɹ + ɹ a + t̪ e	1259
478	Jirel	To walk	kʰjom	kʰjom	kʰ j o m	kʰ.j o.m	1013
479	Jirel	To walk	kʰjambat̪e	kʰjambat̪e	kʰ j a m + b a + t̪ e	kʰ.j a.m + b a + t̪ e	1013
480	Jirel	To run	tɕʰwabat̪e	tɕʰwabat̪e	tɕʰ w a + b a + t̪ e	tɕʰ.w a + b a + t̪ e	19
481	Jirel	To go	ɡalat̪e	ɡalat̪e	g a + l a + t̪ e	g a + l a + t̪ e	
482	Jirel	To go	ŋɡjuk	ŋɡjuk	ⁿg/g j u k	ⁿg/g.j u.k	
483	Jirel	To come	ɕjok	ɕjok	ɕ j o k	ɕ.j o.k	1224
484	Jirel	To speak	mbat̪kʰabat̪e	mbat̪kʰabat̪e	ⁿb/b a t̪ + kʰ a + b a + t̪ e	ⁿb/b a.t̪ + kʰ a + b a + t̪ e	
485	Jirel	To hear/listen	t̪ʰobat̪e	t̪ʰobat̪e	t̪ʰ o + b a + t̪ e	t̪ʰ o + b a + t̪ e	
486	Jirel	To look	t̪abat̪e	t̪abat̪e	t̪ a + b a + t̪ e	t̪ a + b a + t̪ e	
487	Jirel	I	ŋa	ŋa	ŋ a	ŋ a	1310
488	Jirel	You (informal)	kʰo	kʰo	kʰ !Ø/j o	kʰ.!Ø/j o	1430
489	Jirel	He	t̪ʰe	t̪ʰe	t̪ʰ e	t̪ʰ e	
490	Jirel	She	t̪ʰe	t̪ʰe	t̪ʰ e	t̪ʰ e	
491	Jirel	We (inclusive)	oɹoŋ	oɹoŋ	o + ɹ o ŋ	o + ɹ o.ŋ	1070
492	Jirel	We (inclusive)	ŋɡaŋe	ŋɡaŋe	ⁿg/g a + ŋ e	ⁿg/g a + ŋ e	1067
493	Jirel	You (plural)	kʰjokjon	kʰjokjon	kʰ j o + k j o n	kʰ.j o + k.j o n	1498
494	Jirel	They	t̪ʰeba	t̪ʰeba	t̪ʰ e + b a	t̪ʰ e + b a	
495	Jirel	Load	kʰuɹbo	kʰuɹbo	kʰ u ɹ + b o	kʰ u.ɹ + b o	
496	Jirel	Flour (eaten as food)	pʰe	pʰe	pʰ e	pʰ e	
497	Jirel	Hailstone	seɹe	seɹe	s e + ɹ e	s e + ɹ e	1280
498	Jirel	Intestine	ŋɡjumak	ŋɡjumak	!ⁿg/k j u + m a k	!ⁿg/k.j u + m a.k	
499	Jirel	Yard	ɕjaŋka	ɕjaŋka	ɕ j a ŋ + k a	ɕ.j a.ŋ + k a	
500	Jirel	To uproot	pʰalat̪e	pʰalat̪e	pʰ a !Ø/l + l a + t̪ e	pʰ a.!Ø/l + l a + t̪ e	
501	Jirel	Oven	t̪ʰap	t̪ʰap	t̪ʰ a p	t̪ʰ a.p	
502	Jirel	Heel	kuɹkutsa	kuɹkutsa	k u ɹ + k u + ts a	k u.ɹ + k u + ts a	
503	Jirel	Spade	t̪oktsi	t̪oktsi	t̪ o k + ts i	t̪ o.k + ts i	
504	Jirel	Horse	ŋɡoda	ŋɡoda	ⁿg/g o + !d/t̪ a	ⁿg/g o + !d/t̪ a	1294
505	Jirel	To plough	mowat̪e	mowat̪e	m o + w a + t̪ e	m o + w a + t̪ e	
506	Jirel	Bond	t̪əmasuk	t̪əmasuk	t̪ ə + m a + s u k	t̪ ə + m a + s u.k	
507	Jirel	Beam (main wooden beam)	d̪əlin	d̪əlin	d̪ ə + l i n	d̪ ə + l i.n	
508	Jirel	Rope used to tie animals	t̪ʰakpa	t̪ʰakpa	t̪ʰ a k + p a	t̪ʰ a.k + p a	
509	Jirel	Beard	d̪aɹi	d̪aɹi	d̪ a + ɹ i	d̪ a + ɹ i	
510	Jirel	To measure	t̪ʰapat̪e	t̪ʰapat̪e	!t̪ʰ/t̪ a !Ø/p + p a + t̪ e	!t̪ʰ/t̪ a !Ø/p + p a + t̪ e	
511	Jirel	Plank	pʰəljak	pʰəljak	pʰ ə l + j a k	pʰ ə.l + j a.k	
512	Jirel	Hole	miu	miu	m i + !Ø/j u	m i + !Ø/j u	
513	Jirel	Plough (noun)	t̪ʰoŋba	t̪ʰoŋba	t̪ʰ o ŋ + b a	t̪ʰ o.ŋ + b a	
514	Jirel	Lid (cover)	mbutso	mbutso	ⁿb/b u + ts o	ⁿb/b u + ts o	
515	Jirel	Handle	tʰijuk	tʰijuk	t̪ʰ i + j u k	t̪ʰ i + j u.k	
516	Jirel	Bear	t̪om	t̪om	t̪ o m	t̪ o.m	
517	Jirel	Ghost	ləndik	ləndik	!Ø/h l ə n + d̪ i k	!Ø/h.l ə.n + d̪ i.k	
518	Jirel	Manure	tɕʰja	tɕʰja	tɕʰ j a	tɕʰ.j a	
519	Jirel	Bread	ɕjoben	ɕjoben	ɕ j o + b e n	ɕ.j o + b e.n	
520	Jirel	Corpse	ɹo	ɹo	ɹ o	ɹ o	
521	Jirel	Pig	pʰakpa	pʰakpa	pʰ a k + p a	pʰ a.k + p a	1356
522	Jirel	Stick	dəndi	dəndi	d̪ ə + ⁿd/d̪ i	d̪ ə + ⁿd/d̪ i	765
523	Jirel	Sweat	tʰot̪	tʰot̪	t̪ʰ o t̪	t̪ʰ o.t̪	
524	Jirel	To chew	muɹat̪e	muɹat̪e	m u !Ø/ɹ + ɹ a + t̪ e	m u.!Ø/ɹ + ɹ a + t̪ e	1214
525	Jirel	To swallow	mikt̪aŋat̪e	mikt̪aŋat̪e	m i k + t̪ a + ŋ a + t̪ e	m i.k + t̪ a + ŋ a + t̪ e	
526	Jirel	To throw	kjuɹat̪e	kjuɹat̪e	k j u ɹ + a + t̪ e	k.j u.ɹ + a + t̪ e	1000
527	Kagate	Body	dzubu	dzubu	dz u + b u	dz u + b u	
528	Kagate	Head	ɡo	ɡo	g o	g o	1284
529	Kagate	Hair	ta	ta	t̪ a	t̪ a	1282
530	Kagate	Face	t̪oŋba	t̪oŋba	t̪ o ŋ + b a	t̪ o.ŋ + b a	
531	Kagate	Eye	mi	mi	m i	m i	1246
532	Kagate	Ear	namdzjo	namdzjo	n a m + dzj/dʑ o	n a.m + dzj/dʑ o	1238
533	Kagate	Nose	nasum	nasum	n a + s u m	n a + s u.m	1352
534	Kagate	Mouth	kʰa	kʰa	kʰ a	kʰ a	1340
535	Kagate	Teeth	so	so	s o	s o	1446
536	Kagate	Tongue	tse	tse	!ts/tɕ e	!ts/tɕ e	1444
537	Kagate	Breast	oma	oma	o + m a	o + m a	1211
538	Kagate	Breast	praŋɡok	praŋɡok	p r a ŋ + g o k	p.r a.ŋ + g o.k	119
539	Kagate	Belly	topa	topa	t̪ o + p a	t̪ o + p a	1193
540	Kagate	Arm/Hand	laɡpa	laɡpa	l a g/k + p a	l a.g/k + p a	
