ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	COGID	ALIGNMENT
1624	Tsum	Chicken	tɕjauɾu	tɕjauɾu	tɕ j au + ɾ u	470 469	_chicken CHICKEN	152	tɕ j au + ɾ u -
1888	Yolmo	Chicken	tɕjamubiɹu	tɕjamubiɹu	tɕ j a + m u + b i + ɹ u	470 471 472 469	_chicken _chicken _chicken CHICKEN	152	tɕ j a + m u + b i + ɹ u -
115	Gyalsumdo	Child	tuɡu	tuɡu	t u + g u	485 486	CHILD _child	161	t u + g u
377	Jirel	Child	pʰidza	pʰidza	pʰ i + dz a	487 488	CHILD _child	159	pʰ i + dz a
634	Kagate	Child	pidza	pidza	p i + dz a	487 488	CHILD _child	159	p i + dz a
891	Lowa	Child	tu	tu	t u	485	CHILD	161	t u
1144	Nubri	Child	petsa	petsa	p e + ts a	487 488	CHILD _child	159	p e + ts a
1398	Sherpa	Child	aŋa	aŋa	a + ŋ a	489 490	CHILD _child	163	a + ŋ a
1641	Tsum	Child	piza	piza	p i + z a	487 488	CHILD _child	159	p i + z a
1905	Yolmo	Child	pedza	pedza	p e + dz a	487 488	CHILD _child	159	p e + dz a
84	Gyalsumdo	Chilli	maɾtsʰa	maɾtsʰa	m a ɾ + tsʰ a	501 502	_chilli CHILLI	165	m a ɾ + tsʰ a -
345	Jirel	Chilli	kʰuɹɕani	kʰuɹɕani	kʰ u ɹ + ɕ a + n i	503 504 505	CHILLI _chilli _chilli	167	kʰ u ɹ + ɕ a - + n i
604	Kagate	Chilli	martsi	martsi	m a r + ts i	501 502	_chilli CHILLI	165	m a r + ts i -
860	Lowa	Chilli	maɾtsa	maɾtsa	m a ɾ + ts a	501 502	_chilli CHILLI	165	m a ɾ + ts a -
1115	Nubri	Chilli	kʰoɹtsʰen	kʰoɹtsʰen	kʰ o ɹ + tsʰ e n	503 502	_chilli CHILLI	165	kʰ o ɹ + tsʰ e n
1368	Sherpa	Chilli	mərtsi	mərtsi	m ə r + ts i	501 502	_chilli CHILLI	165	m ə r + ts i -
1612	Tsum	Chilli	kʰulzan	kʰulzan	kʰ u l + z a n	506 504	_chilli CHILLI	168	kʰ u l + z a n
1876	Yolmo	Chilli	mətsa	mətsa	m ə + ts a	501 502	_chilli CHILLI	165	m ə - + ts a -
45	Gyalsumdo	Cloth	køla	køla	k ø + l a	519 520	CLOTH _cloth	171	k ø - + l a -
308	Jirel	Cloth	kʰolak	kʰolak	kʰ o + l a k	519 520	CLOTH _cloth	171	kʰ o - + l a k
568	Kagate	Cloth	kela	kela	k e + l a	519 520	CLOTH _cloth	171	k e - + l a -
822	Lowa	Cloth	kolaʔ	kolaʔ	k o + l a ʔ	519 520	CLOTH _cloth	171	k o - + l a ʔ
1079	Nubri	Cloth	kalaʔ	kalaʔ	k a + l a ʔ	519 520	CLOTH _cloth	171	k a - + l a ʔ
1331	Sherpa	Cloth	madzja	madzja	m a + dz j a	521 522	_cloth CLOTH	173	m a + dz j a
1576	Tsum	Cloth	kølaʔ	kølaʔ	k ø + l a ʔ	519 520	CLOTH _cloth	171	k ø - + l a ʔ
1839	Yolmo	Cloth	kəptɕja	kəptɕja	k ə p + tɕ j a	519 522	CLOTH _cloth	171	k ə p + tɕ j a
55	Gyalsumdo	Cloud	muɡpa	muɡpa	m u g + p a	536 537	_cloud CLOUD	175	m u g + p a -
317	Jirel	Cloud	mukpa	mukpa	m u k + p a	536 537	_cloud CLOUD	175	m u k + p a -
577	Kagate	Cloud	mukpa	mukpa	m u k + p a	536 537	_cloud CLOUD	175	m u k + p a -
831	Lowa	Cloud	ʂɹiŋpa	ʂɹiŋpa	ʂ ɹ i ŋ + p a	538 537	_cloud CLOUD	175	ʂ ɹ i ŋ + p a -
1088	Nubri	Cloud	muɡpa	muɡpa	m u g + p a	536 537	_cloud CLOUD	175	m u g + p a -
1341	Sherpa	Cloud	mukpa	mukpa	m u k + p a	536 537	_cloud CLOUD	175	m u k + p a -
1585	Tsum	Cloud	mukpaʔ	mukpaʔ	m u k + p a ʔ	536 537	_cloud CLOUD	175	m u k + p a ʔ
1849	Yolmo	Cloud	mukpa	mukpa	m u k + p a	536 537	_cloud CLOUD	175	m u k + p a -
151	Gyalsumdo	Cold	taŋmu	taŋmu	t a ŋ + m u	553 554	COLD _cold	178	t a ŋ + - m u
410	Jirel	Cold	tʰəŋɡe	tʰəŋɡe	tʰ ə ŋ + g e	553 555	COLD _cold	178	tʰ ə ŋ + g e
670	Kagate	Cold	taŋmu	taŋmu	t a ŋ + m u	553 554	COLD _cold	178	t a ŋ + - m u
926	Lowa	Cold	taɡmo	taɡmo	t a + g m o	553 554	COLD _cold	178	t a - + g m o
1177	Nubri	Cold	taŋmo	taŋmo	t a ŋ + m o	553 554	COLD _cold	178	t a ŋ + - m o
1431	Sherpa	Cold	tʰeŋa	tʰeŋa	tʰ e + ŋ a	553 556	COLD _cold	178	tʰ e - + ŋ a
1674	Tsum	Cold	ɹaŋd̪a	ɹaŋd̪a	ɹ a ŋ + d̪ a	557 553	_cold COLD	178	ɹ a ŋ + d̪ a -
1938	Yolmo	Cold	taŋmu	taŋmu	t a ŋ + m u	553 554	COLD _cold	178	t a ŋ + - m u
260	Gyalsumdo	Corpse	ɹo	ɹo	ɹ o	570	CORPSE	183	- ɹ o
522	Jirel	Corpse	ɹo	ɹo	ɹ o	570	CORPSE	183	- ɹ o
772	Kagate	Corpse	ro	ro	r o	570	CORPSE	183	- r o
773	Kagate	Corpse	pʰumbu	pʰumbu	pʰ u n/m + b u	571 572	_corpse CORPSE	184	pʰ u n/m + b u -
1033	Lowa	Corpse	ɹo	ɹo	ɹ o	570	CORPSE	183	- ɹ o
1282	Nubri	Corpse	hɹo	hɹo	h ɹ o	570	CORPSE	183	h ɹ o
1529	Sherpa	Corpse	ro	ro	r o	570	CORPSE	183	- r o
1787	Tsum	Corpse	ɹo	ɹo	ɹ o	570	CORPSE	183	- ɹ o
1788	Tsum	Corpse	pʰuŋbo	pʰuŋbo	pʰ u ŋ + b o	572 573	CORPSE _corpse	184	pʰ u ŋ + b o
2043	Yolmo	Corpse	ɹo	ɹo	ɹ o	570	CORPSE	183	- ɹ o
98	Gyalsumdo	Cow	poɡo	poɡo	p o + g o	583 584	COW _cow	187	p o + g o
360	Jirel	Cow	pʰalaŋ	pʰalaŋ	pʰ a + l a ŋ	583 585	COW _cow	187	pʰ a + l a ŋ
618	Kagate	Cow	palaŋ	palaŋ	p a + l a ŋ	583 585	COW _cow	187	p a + l a ŋ
875	Lowa	Cow	palaŋ	palaŋ	p a + l a ŋ	583 585	COW _cow	187	p a + l a ŋ
1129	Nubri	Cow	palaŋ	palaŋ	p a + l a ŋ	583 585	COW _cow	187	p a + l a ŋ
1382	Sherpa	Cow	tɕʰuŋma	tɕʰuŋma	tɕʰ u ŋ + m a	586 587	COW _cow	190	tɕʰ u ŋ + m a
1626	Tsum	Cow	pawo	pawo	p a + w o	583 588	COW _cow	187	p a + w o
1890	Yolmo	Cow	palaŋ	palaŋ	p a + l a ŋ	583 585	COW _cow	187	p a + l a ŋ
123	Gyalsumdo	Daughter	pomo	pomo	p o + m o	600 601	DAUGHTER _daughter	193	p o + m o
385	Jirel	Daughter	pʰumu	pʰumu	pʰ u + m u	600 601	DAUGHTER _daughter	193	pʰ u + m u
642	Kagate	Daughter	pomo	pomo	p o + m o	600 601	DAUGHTER _daughter	193	p o + m o
899	Lowa	Daughter	pomo	pomo	p o + m o	600 601	DAUGHTER _daughter	193	p o + m o
1152	Nubri	Daughter	poõ	poõ	p oõ	600	DAUGHTER	193	p oõ
1406	Sherpa	Daughter	pʰumu	pʰumu	pʰ u + m u	600 601	DAUGHTER _daughter	193	pʰ u + m u
1649	Tsum	Daughter	poõ	poõ	p oõ	600	DAUGHTER	193	p oõ
1913	Yolmo	Daughter	pomo	pomo	p o + m o	600 601	DAUGHTER _daughter	193	p o + m o
130	Gyalsumdo	Day	ɕjaŋma	ɕjaŋma	ɕ j a ŋ + m a	615 616	_day DAY	195	ɕ j a ŋ + m a
390	Jirel	Day	ɲima	ɲima	ɲ i + m a	617 616	_day DAY	195	ɲ i - + m a
648	Kagate	Day	ɲima	ɲima	ɲ i + m a	617 616	_day DAY	195	ɲ i - + m a
904	Lowa	Day	ɲima	ɲima	ɲ i + m a	617 616	_day DAY	195	ɲ i - + m a
1157	Nubri	Day	ɲin̪	ɲin̪	ɲ i n̪	617	DAY	196	ɲ i n̪
1411	Sherpa	Day	ɲima	ɲima	ɲ i + m a	617 616	_day DAY	195	ɲ i - + m a
1654	Tsum	Day	ɕjakpa	ɕjakpa	ɕ j a k + p a	618 619	DAY _day	198	ɕ j a k + p a
1918	Yolmo	Day	ɲima	ɲima	ɲ i + m a	617 616	_day DAY	195	ɲ i - + m a
193	Gyalsumdo	Different	mendaɡe	mendaɡe	m e n/n + d a + g e	631 632 633	DIFFERENT _different _different	200	m e n/n + d a + g e
451	Jirel	Different	kʰud̪uk	kʰud̪uk	kʰ u + d̪ u k	633 634	DIFFERENT _different	201	kʰ u + d̪ u k
709	Kagate	Different	raŋsara	raŋsara	r a ŋ + s a + r a	635 636 637	DIFFERENT _different _different	206	r a ŋ + s a + r a
969	Lowa	Different	mitɕikpa	mitɕikpa	m i + tɕ i k + p a	631 634 638	DIFFERENT _different _different	200	m i - + tɕ i k + p a
1218	Nubri	Different	alak	alak	a + l a k	639 640	DIFFERENT _different	204	a + l a k
1470	Sherpa	Different	kʰut̪uk	kʰut̪uk	kʰ u + t̪ u k	633 634	DIFFERENT _different	201	kʰ u + t̪ u k
1713	Tsum	Different	minta	minta	m i n + t a	631 632	DIFFERENT _different	200	m i n + t a
1978	Yolmo	Different	alak	alak	a + l a k	639 640	DIFFERENT _different	204	a + l a k
104	Gyalsumdo	Dog	kjupu	kjupu	k j u + p u	651 652	DOG _dog	210	k j u + p u
105	Gyalsumdo	Dog	ki	ki	k i	651	DOG	210	k - i
367	Jirel	Dog	ki	ki	k i	651	DOG	210	k - i
624	Kagate	Dog	kʰi	kʰi	kʰ i	651	DOG	210	kʰ - i
881	Lowa	Dog	kʰi	kʰi	kʰ i	651	DOG	210	kʰ - i
1135	Nubri	Dog	kʰji	kʰji	kʰ j i	651	DOG	210	kʰ j i
1388	Sherpa	Dog	ki	ki	k i	651	DOG	210	k - i
1632	Tsum	Dog	ki	ki	k i	651	DOG	210	k - i
1896	Yolmo	Dog	kʰi	kʰi	kʰ i	651	DOG	210	kʰ - i
33	Gyalsumdo	Door	ko	ko	k o	662	DOOR	212	- k o
296	Jirel	Door	ŋɡo	ŋɡo	ŋ g o	662	DOOR	212	ŋ g o
557	Kagate	Door	ko	ko	k o	662	DOOR	212	- k o
811	Lowa	Door	ko	ko	k o	662	DOOR	212	- k o
1068	Nubri	Door	ko	ko	k o	662	DOOR	212	- k o
1320	Sherpa	Door	ɡo	ɡo	g o	662	DOOR	212	- g o
1565	Tsum	Door	ko	ko	k o	662	DOOR	212	- k o
1827	Yolmo	Door	ko	ko	k o	662	DOOR	212	- k o
147	Gyalsumdo	Dry	kəmpu	kəmpu	k ə m + p u	671 672	DRY _dry	213	k ə m + p u
406	Jirel	Dry	kombo	kombo	k o n/m + b o	671 672	DRY _dry	213	k o n/m + b o
666	Kagate	Dry	kambu	kambu	k a n/m + b u	671 672	DRY _dry	213	k a n/m + b u
922	Lowa	Dry	kampo	kampo	k a m + p o	671 672	DRY _dry	213	k a m + p o
1173	Nubri	Dry	kombo	kombo	k o n/m + b o	671 672	DRY _dry	213	k o n/m + b o
1427	Sherpa	Dry	kaŋbu	kaŋbu	k a ŋ + b u	671 672	DRY _dry	213	k a ŋ + b u
1670	Tsum	Dry	kampo	kampo	k a m + p o	671 672	DRY _dry	213	k a m + p o
1934	Yolmo	Dry	kambu	kambu	k a n/m + b u	671 672	DRY _dry	213	k a n/m + b u
66	Gyalsumdo	Dust	t̪ʰala	t̪ʰala	t̪ʰ a + l a	688 689	DUST _dust	215	t̪ʰ a - + l a
329	Jirel	Dust	d̪ulo	d̪ulo	d̪ u + l o	690 689	_dust DUST	216	d̪ u - + l o
588	Kagate	Dust	t̪ʰaldzuk	t̪ʰaldzuk	t̪ʰ a l + dz u k	688 690	DUST _dust	215	t̪ʰ a l + dz u k
844	Lowa	Dust	t̪ʰala	t̪ʰala	t̪ʰ a + l a	688 689	DUST _dust	215	t̪ʰ a - + l a
1099	Nubri	Dust	t̪ʰala	t̪ʰala	t̪ʰ a + l a	688 689	DUST _dust	215	t̪ʰ a - + l a
1352	Sherpa	Dust	t̪ʰald̪uk	t̪ʰald̪uk	t̪ʰ a l + d̪ u k	688 690	DUST _dust	215	t̪ʰ a l + d̪ u k
1596	Tsum	Dust	t̪ʰala	t̪ʰala	t̪ʰ a + l a	688 689	DUST _dust	215	t̪ʰ a - + l a
1860	Yolmo	Dust	t̪ʰalbi	t̪ʰalbi	t̪ʰ a l + b i	688 691	DUST _dust	215	t̪ʰ a l + b i
6	Gyalsumdo	Ear	amtɕo	amtɕo	a m + tɕ o	705 706	EAR _ear	219	- a m + tɕ - o -
7	Gyalsumdo	Ear	amdʑo	amdʑo	a m + dʑ o	705 706	EAR _ear	219	- a m + dʑ - o -
274	Jirel	Ear	n̪amdʑjok	n̪amdʑjok	n̪ a m + dʑ j o k	705 706	EAR _ear	219	n̪ a m + dʑ j o k
534	Kagate	Ear	namdzjo	namdzjo	n a m + dz j o	705 706	EAR _ear	219	n a m + dz j o -
787	Lowa	Ear	amtɕjoʔ	amtɕjoʔ	a m + tɕ j o ʔ	705 706	EAR _ear	219	- a m + tɕ j o ʔ
1046	Nubri	Ear	amtɕjoʔ	amtɕjoʔ	a m + tɕ j o ʔ	705 706	EAR _ear	219	- a m + tɕ j o ʔ
1297	Sherpa	Ear	namdzjok	namdzjok	n a m + dz j o k	705 706	EAR _ear	219	n a m + dz j o k
1542	Tsum	Ear	amdʑjoʔ	amdʑjoʔ	a m + dʑ j o ʔ	705 706	EAR _ear	219	- a m + dʑ j o ʔ
1805	Yolmo	Ear	nəmdʑjo	nəmdʑjo	n ə m + dʑ j o	705 706	EAR _ear	219	n ə m + dʑ j o -
97	Gyalsumdo	Egg	koŋa	koŋa	k o + ŋ a	724 725	EGG _egg	221	k o + ŋ a
358	Jirel	Egg	tsʰemend̪ok	tsʰemend̪ok	tsʰ e + m e n/n + d o k	726 727 728	EGG _egg _egg	223	tsʰ e + m e n/n + d o k
359	Jirel	Egg	tsʰeɡoŋa	tsʰeɡoŋa	tsʰ e + g o + ŋ a	726 724 725	_egg EGG _egg	221	tsʰ e + g o + ŋ a
617	Kagate	Egg	tɕjamuɡoŋa	tɕjamuɡoŋa	tɕ j a + m u + g o + ŋ a	729 730 724 725	_egg _egg EGG _egg	221	tɕ j a + m u + g o + ŋ a
874	Lowa	Egg	koŋa	koŋa	k o + ŋ a	724 725	EGG _egg	221	k o + ŋ a
1128	Nubri	Egg	koõ	koõ	k oõ	724	EGG	221	k oõ
1381	Sherpa	Egg	tɕʰeɡoŋa	tɕʰeɡoŋa	tɕʰ e + g o + ŋ a	726 724 725	_egg EGG _egg	221	tɕʰ e + g o + ŋ a
1625	Tsum	Egg	koã	koã	k oã	724	EGG	221	k oã
1889	Yolmo	Egg	koŋa	koŋa	k o + ŋ a	724 725	EGG _egg	221	k o + ŋ a
82	Gyalsumdo	Eggplant	penda	penda	p e n/n + d a	746 747	_eggplant EGGPLANT	228	p - e n/n + d a
343	Jirel	Eggplant	pənda	pənda	p ə n/n + d a	746 747	_eggplant EGGPLANT	228	p - ə n/n + d a
602	Kagate	Eggplant	bjanta	bjanta	b j a n + t a	746 747	_eggplant EGGPLANT	228	b j a n + t a
858	Lowa	Eggplant	t̪oluma	t̪oluma	t̪ o + l u + m a	747 748 749	EGGPLANT _eggplant _eggplant	228	t̪ o + l u + m a
1113	Nubri	Eggplant	pɛnta	pɛnta	p ɛ n + t a	746 747	_eggplant EGGPLANT	228	p - ɛ n + t a
1366	Sherpa	Eggplant	bənta	bənta	b ə n + t a	746 747	_eggplant EGGPLANT	228	b - ə n + t a
1610	Tsum	Eggplant	bənda	bənda	b ə n/n + d a	746 747	_eggplant EGGPLANT	228	b - ə n/n + d a
1874	Yolmo	Eggplant	bãⁿda	bãⁿda	b ã + ⁿd a	750 747	_eggplant EGGPLANT	228	b ã + ⁿd a
173	Gyalsumdo	Eight	ke	ke	k e	764	EIGHT	233	k e -
433	Jirel	Eight	ŋɡet̪	ŋɡet̪	ŋ g e t̪	765	EIGHT	234	ŋ g e t̪
691	Kagate	Eight	ke	ke	k e	764	EIGHT	233	k e -
948	Lowa	Eight	ke	ke	k e	764	EIGHT	233	k e -
1198	Nubri	Eight	ke	ke	k e	764	EIGHT	233	k e -
1199	Nubri	Eight	kxe	kxe	k x e	767	EIGHT	236	k x e
1452	Sherpa	Eight	ɡeʔ	ɡeʔ	g e ʔ	766	EIGHT	235	g e ʔ
1695	Tsum	Eight	keʔ	keʔ	k e ʔ	764	EIGHT	233	k e ʔ
1959	Yolmo	Eight	ke	ke	k e	764	EIGHT	233	k e -
16	Gyalsumdo	Elbow	temaɲuŋ	temaɲuŋ	t e + m a + ɲ u ŋ	774 775 776	ELBOW _elbow _elbow	238	t - e + m a + ɲ u ŋ
282	Jirel	Elbow	kuin̪a	kuin̪a	k ui + n̪ a	777 778	ELBOW _elbow	243	k ui + n̪ a
543	Kagate	Elbow	uti	uti	u + t i	779 780	_elbow ELBOW	237	u + t i -
795	Lowa	Elbow	tamo	tamo	t a + m o	781 775	_elbow ELBOW	239	t a + m o
1054	Nubri	Elbow	tsʰikt̪oʔ	tsʰikt̪oʔ	tsʰ i k + t̪ o ʔ	780 782	ELBOW _elbow	237	tsʰ i k + t̪ o ʔ
1305	Sherpa	Elbow	laɡpatsʰi	laɡpatsʰi	l a g + p a + tsʰ i	783 784 780	_elbow _elbow ELBOW	237	l a g + p a + tsʰ i -
1550	Tsum	Elbow	tɹejoʔ	tɹejoʔ	t ɹ e + j o ʔ	774 785	ELBOW _elbow	238	t ɹ e + j o ʔ
1814	Yolmo	Elbow	laɡpatsi	laɡpatsi	l a g + p a + ts i	783 784 780	_elbow _elbow ELBOW	237	l a g + p a + ts i -
176	Gyalsumdo	Eleven	tɕuktɕik	tɕuktɕik	tɕ u k + tɕ i k	794 795	ELEVEN _eleven	249	tɕ - u k + - tɕ i k
436	Jirel	Eleven	tɕutɕik	tɕutɕik	tɕ u + tɕ i k	794 795	ELEVEN _eleven	249	tɕ - u - + - tɕ i k
694	Kagate	Eleven	tɕjudʑik	tɕjudʑik	tɕ j u + dʑ i k	794 795	ELEVEN _eleven	249	tɕ j u - + - dʑ i k
951	Lowa	Eleven	tɕuɡtɕik	tɕuɡtɕik	tɕ u + g tɕ i k	794 795	ELEVEN _eleven	249	tɕ - u - + g tɕ i k
1202	Nubri	Eleven	tɕjudʑik	tɕjudʑik	tɕ j u + dʑ i k	794 795	ELEVEN _eleven	249	tɕ j u - + - dʑ i k
1455	Sherpa	Eleven	tɕjudzik	tɕjudzik	tɕ j u + dz i k	794 795	ELEVEN _eleven	249	tɕ j u - + - dz i k
1698	Tsum	Eleven	tɕutɕi	tɕutɕi	tɕ u + tɕ i	794 795	ELEVEN _eleven	249	tɕ - u - + - tɕ i -
1962	Yolmo	Eleven	tɕjuʑi	tɕjuʑi	tɕ j u + ʑ i	794 795	ELEVEN _eleven	249	tɕ j u - + - ʑ i -
134	Gyalsumdo	Evening	kɔŋmo	kɔŋmo	k ɔ ŋ + m o	811 812	EVENING _evening	251	k ɔ ŋ + m o
394	Jirel	Evening	ŋɡwase	ŋɡwase	ŋ g w a + s e	813 814	_evening EVENING	253	ŋ g w a + s e
653	Kagate	Evening	kuŋɕe	kuŋɕe	k u ŋ + ɕ e	811 814	EVENING _evening	251	k u ŋ + ɕ e
908	Lowa	Evening	komo	komo	k o + m o	811 812	EVENING _evening	251	k o - + m o
1161	Nubri	Evening	koŋmo	koŋmo	k o ŋ + m o	811 812	EVENING _evening	251	k o ŋ + m o
1415	Sherpa	Evening	ɡuŋse	ɡuŋse	g u ŋ + s e	811 814	EVENING _evening	251	g u ŋ + s e
1658	Tsum	Evening	kuŋmu	kuŋmu	k u ŋ + m u	811 812	EVENING _evening	251	k u ŋ + m u
1922	Yolmo	Evening	kuŋse	kuŋse	k u ŋ + s e	811 814	EVENING _evening	251	k u ŋ + s e
5	Gyalsumdo	Eye	mi	mi	m i	828	EYE	255	m i -
273	Jirel	Eye	mik	mik	m i k	828	EYE	255	m i k
533	Kagate	Eye	mi	mi	m i	828	EYE	255	m i -
786	Lowa	Eye	mik	mik	m i k	828	EYE	255	m i k
1045	Nubri	Eye	mik	mik	m i k	828	EYE	255	m i k
1296	Sherpa	Eye	mik	mik	m i k	828	EYE	255	m i k
1541	Tsum	Eye	miʔ	miʔ	m i ʔ	828	EYE	255	m i ʔ
1804	Yolmo	Eye	mi	mi	m i	828	EYE	255	m i -
4	Gyalsumdo	Face	ŋot̪oŋ	ŋot̪oŋ	ŋ o + t̪ o ŋ	837 838	_face FACE	256	ŋ o + t̪ o ŋ
272	Jirel	Face	tɕʰet̪	tɕʰet̪	tɕʰ e t̪	839	FACE	258	tɕʰ e t̪
532	Kagate	Face	t̪oŋba	t̪oŋba	t̪ o ŋ + b a	838 840	FACE _face	256	t̪ o ŋ + b a
785	Lowa	Face	ŋot̪oŋ	ŋot̪oŋ	ŋ o + t̪ o ŋ	837 838	_face FACE	256	ŋ o + t̪ o ŋ
1044	Nubri	Face	tɕuŋu	tɕuŋu	tɕ u + ŋ u	841 837	_face FACE	257	tɕ u + ŋ u
1295	Sherpa	Face	ŋot̪oŋ	ŋot̪oŋ	ŋ o + t̪ o ŋ	837 838	_face FACE	256	ŋ o + t̪ o ŋ
1540	Tsum	Face	tɕeʔ	tɕeʔ	tɕ e ʔ	839	FACE	258	tɕ e ʔ
1803	Yolmo	Face	t̪oŋba	t̪oŋba	t̪ o ŋ + b a	838 840	FACE _face	256	t̪ o ŋ + b a
28	Gyalsumdo	Faeces	kjaɡpa	kjaɡpa	k j a g + p a	852 853	FAECES _faeces	261	k j a g + p a
292	Jirel	Faeces	kjakpa	kjakpa	k j a k + p a	852 853	FAECES _faeces	261	k j a k + p a
553	Kagate	Faeces	kjakpa	kjakpa	k j a k + p a	852 853	FAECES _faeces	261	k j a k + p a
806	Lowa	Faeces	kjakpa	kjakpa	k j a k + p a	852 853	FAECES _faeces	261	k j a k + p a
807	Lowa	Faeces	tsa	tsa	ts a	855	FAECES	264	ts a
1064	Nubri	Faeces	aʔ	aʔ	a ʔ	854	FAECES	263	a ʔ
1315	Sherpa	Faeces	kjakpa	kjakpa	k j a k + p a	852 853	FAECES _faeces	261	k j a k + p a
1560	Tsum	Faeces	aʔ	aʔ	a ʔ	854	FAECES	263	a ʔ
1824	Yolmo	Faeces	kjakpa	kjakpa	k j a k + p a	852 853	FAECES _faeces	261	k j a k + p a
155	Gyalsumdo	Far	t̪ʰaɹiŋbu	t̪ʰaɹiŋbu	t̪ʰ a + ɹ i ŋ + b u	868 869 870	FAR _far _far	265	t̪ʰ a + - ɹ i ŋ + b u
414	Jirel	Far	t̪ʰaɹid̪u	t̪ʰaɹid̪u	t̪ʰ a + ɹ i + d̪ u	868 869 871	FAR _far _far	265	t̪ʰ a + - ɹ i - + d̪ u
415	Jirel	Far	t̪ʰaɹipa	t̪ʰaɹipa	t̪ʰ a + ɹ i + p a	868 869 870	FAR _far _far	265	t̪ʰ a + - ɹ i - + p a
674	Kagate	Far	t̪ʰariŋbu	t̪ʰariŋbu	t̪ʰ a + r i ŋ + b u	868 869 870	FAR _far _far	265	t̪ʰ a + - r i ŋ + b u
930	Lowa	Far	t̪ʰaɡɾiŋa	t̪ʰaɡɾiŋa	t̪ʰ a + g ɾ i + ŋ a	868 869 872	FAR _far _far	265	t̪ʰ a + g ɾ i - + ŋ a
1181	Nubri	Far	t̪ʰaɹiŋpo	t̪ʰaɹiŋpo	t̪ʰ a + ɹ i ŋ + p o	868 869 870	FAR _far _far	265	t̪ʰ a + - ɹ i ŋ + p o
1435	Sherpa	Far	t̪ʰakriŋbu	t̪ʰakriŋbu	t̪ʰ a + k r i ŋ + b u	868 869 870	FAR _far _far	265	t̪ʰ a + k r i ŋ + b u
1678	Tsum	Far	t̪ʰaɹiŋmu	t̪ʰaɹiŋmu	t̪ʰ a + ɹ i ŋ + m u	868 869 873	FAR _far _far	265	t̪ʰ a + - ɹ i ŋ + m u
1942	Yolmo	Far	t̪ʰaɹiŋbu	t̪ʰaɹiŋbu	t̪ʰ a + ɹ i ŋ + b u	868 869 870	FAR _far _far	265	t̪ʰ a + - ɹ i ŋ + b u
94	Gyalsumdo	Fat (of meat)	tsʰulu	tsʰulu	tsʰ u + l u	896 897	FAT _fat	271	tsʰ u + l u -
355	Jirel	Fat (of meat)	tsʰiluk	tsʰiluk	tsʰ i + l u k	896 897	FAT _fat	271	tsʰ i + l u k
614	Kagate	Fat (of meat)	tsʰiluk	tsʰiluk	tsʰ i + l u k	896 897	FAT _fat	271	tsʰ i + l u k
871	Lowa	Fat (of meat)	tsʰiluk	tsʰiluk	tsʰ i + l u k	896 897	FAT _fat	271	tsʰ i + l u k
1125	Nubri	Fat (of meat)	tsʰulu	tsʰulu	tsʰ u + l u	896 897	FAT _fat	271	tsʰ u + l u -
1378	Sherpa	Fat (of meat)	tsʰiluk	tsʰiluk	tsʰ i + l u k	896 897	FAT _fat	271	tsʰ i + l u k
1622	Tsum	Fat (of meat)	tsʰilu	tsʰilu	tsʰ i + l u	896 897	FAT _fat	271	tsʰ i + l u -
1886	Yolmo	Fat (of meat)	tsʰilu	tsʰilu	tsʰ i + l u	896 897	FAT _fat	271	tsʰ i + l u -
116	Gyalsumdo	Father	apa	apa	a + p a	913 914	FATHER _father	273	a + p a
378	Jirel	Father	aba	aba	a + b a	913 914	FATHER _father	273	a + b a
635	Kagate	Father	aba	aba	a + b a	913 914	FATHER _father	273	a + b a
892	Lowa	Father	ake	ake	a + k e	913 915	FATHER _father	273	a + k e
1145	Nubri	Father	jɛ	jɛ	j ɛ	916	FATHER	276	j ɛ
1399	Sherpa	Father	apa	apa	a + p a	913 914	FATHER _father	273	a + p a
1642	Tsum	Father	awa	awa	a + w a	913 917	FATHER _father	273	a + w a
1906	Yolmo	Father	aba	aba	a + b a	913 914	FATHER _father	273	a + b a
196	Gyalsumdo	Few	ɲuŋe	ɲuŋe	ɲ u + ŋ e	929 930	FEW _few	278	ɲ u - + ŋ e
454	Jirel	Few	tikpidʑik	tikpidʑik	t i k + p i + dʑ i k	931 932 933	_few _few FEW	279	t i k + p i + dʑ i k
713	Kagate	Few	t̪ibi	t̪ibi	t̪ i + b i	933 932	FEW _few	279	t̪ i - + b i
973	Lowa	Few	ɲuŋwa	ɲuŋwa	ɲ u ŋ + w a	929 934	FEW _few	278	ɲ u ŋ + w a
1221	Nubri	Few	alajili	alajili	a + l a + j i + l i	935 936 937 938	FEW _few _few _few	284	a + l a + j i + l i
1473	Sherpa	Few	tsedzi	tsedzi	ts e + dz i	939 933	_few FEW	279	ts e + dz i -
1716	Tsum	Few	ɲyma	ɲyma	ɲ y + m a	929 940	FEW _few	278	ɲ y - + m a
1981	Yolmo	Few	sipi	sipi	s i + p i	933 932	FEW _few	279	s i - + p i
1982	Yolmo	Few	ɲemu	ɲemu	ɲ e + m u	929 941	FEW _few	278	ɲ e - + m u
19	Gyalsumdo	Finger	tsuɡu	tsuɡu	ts u + g u	951 952	FINGER _finger	291	ts u + g u
284	Jirel	Finger	ndziu	ndziu	ⁿdz iu	951	FINGER	291	ⁿdz iu
